org_id,reassign_num
1342.0,25889
1047.0,12756
1028.0,6914
1062.0,6595
1045.0,5079
1042.0,3729
1213.0,3094
1065.0,2955
1048.0,2649
942.0,2132
1063.0,2103
1057.0,2103
1038.0,1920
1055.0,1626
1060.0,1562
835.0,1527
1355.0,1385
1272.0,1329
1050.0,1165
1053.0,1096
910.0,1004
1300.0,902
1037.0,859
1273.0,693
1123.0,679
1058.0,585
1043.0,508
978.0,494
992.0,411
1040.0,401
1325.0,345
1297.0,327
877.0,320
1377.0,310
1068.0,256
1165.0,182
912.0,179
853.0,179
1303.0,171
1067.0,152
1087.0,151
1228.0,143
17498.0,136
1753.0,84
1247.0,65
1017.0,53
15833.0,31
1030.0,19
1202.0,14
1083.0,13
918.0,12
1032.0,11
1182.0,10
1243.0,6
1237.0,6
1328.0,6
1085.0,5
952.0,4
867.0,3
1232.0,3
1260.0,2
930.0,2
1337.0,2
948.0,2
1732.0,1
837.0,1
1183.0,1
1233.0,1
988.0,0
1205.0,0
