org_id,reassign_num
1342.0,16061
1047.0,7821
1028.0,5198
1062.0,3701
1045.0,2770
1042.0,2254
1065.0,2093
1213.0,1503
1048.0,1489
942.0,1241
1063.0,1179
1057.0,1041
1055.0,934
1038.0,933
1355.0,884
835.0,872
1272.0,771
1060.0,741
1053.0,645
1050.0,609
910.0,550
1300.0,527
1037.0,491
1123.0,330
1273.0,321
1058.0,276
1043.0,274
978.0,259
1040.0,217
992.0,207
1297.0,184
877.0,181
1377.0,170
1325.0,155
1068.0,121
853.0,99
1303.0,83
1165.0,82
912.0,81
1067.0,75
1087.0,75
17498.0,71
1228.0,64
1753.0,42
1017.0,25
1247.0,20
15833.0,15
1030.0,8
1202.0,8
1032.0,7
1182.0,5
1083.0,5
1243.0,4
1085.0,4
1237.0,4
1328.0,4
952.0,2
1260.0,2
1337.0,2
918.0,2
930.0,1
948.0,1
1732.0,1
1233.0,1
867.0,1
1183.0,1
1232.0,1
837.0,1
