org_id,PRIORITY,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
1342.0,High,1878.9699129172718,1878.9699129172718
1083.0,Low,4922.66,1427.775
1123.0,Medium,1489.995,427.85
1058.0,High,307.63,307.63
1067.0,Low,828.6850000000001,226.57600000000002
1213.0,Low,794.2441304347827,222.68217391304347
1017.0,Low,672.73,190.74
1062.0,High,144.61354838709678,144.61354838709678
1055.0,High,135.20999999999998,135.20999999999998
877.0,Low,406.1478571428571,115.35464285714285
992.0,Medium,359.99,99.99
1040.0,Low,348.27187499999997,99.17312500000001
992.0,Low,304.9206249999999,85.6725
910.0,Medium,238.29333333333338,72.86333333333333
15833.0,Low,253.47285714285712,67.91142857142857
15833.0,Medium,241.12,66.125
1062.0,Low,224.2959164969457,64.86382298031236
1068.0,Low,229.98937500000005,64.42687500000001
1045.0,High,60.97,60.97
1123.0,Low,220.22444444444434,60.06148148148145
1272.0,Medium,216.17650000000003,59.18150000000001
1028.0,High,54.233181818181805,54.233181818181805
1205.0,Low,200.21999999999997,53.56600000000001
1165.0,Low,195.2059259259259,52.338888888888896
1055.0,Low,165.8477942857143,43.89598857142857
1028.0,Low,143.22661414890348,39.12286221810312
1087.0,Low,127.17333333333333,36.495
1055.0,Medium,133.00016129032244,36.29344758064518
1062.0,Medium,119.97083895853433,34.3135969141755
942.0,Medium,117.07781250000002,34.130156250000006
1053.0,Low,137.53699999999998,34.013999999999996
1355.0,Low,118.78328897760058,31.42091816367274
1342.0,Low,111.04367316094587,30.9194262317605
1037.0,Low,106.1300448430493,26.337556053811653
1058.0,Low,98.53214285714287,26.082857142857144
1063.0,High,26.005,26.005
835.0,Low,94.51219354838713,25.339419354838718
910.0,Low,92.51967213114754,24.572377049180332
1060.0,Low,81.63833333333332,24.28333333333333
1045.0,Low,96.6830434782609,24.18478260869565
835.0,Medium,74.56,22.56
1040.0,Medium,50.4,22.4
1355.0,High,22.257372262773714,22.257372262773714
942.0,Low,81.11922802850361,22.005653206650848
1342.0,Medium,77.73946693657211,21.217985829959513
1228.0,Low,101.44166666666668,20.924166666666668
1272.0,Low,76.49732203389833,20.382169491525413
942.0,High,19.205,19.205
1028.0,Medium,72.60500370096223,18.37297187268693
1165.0,Medium,62.015,17.015
1047.0,Low,60.709531290239156,16.786924199502128
1050.0,Low,62.58583333333334,16.253749999999997
1065.0,Medium,53.40421261261279,14.67630990990991
1303.0,Low,50.29538461538463,14.508461538461535
1063.0,Low,58.08453237410072,13.750719424460433
912.0,Low,68.58500000000001,13.725999999999999
1355.0,Medium,49.068084745762725,13.674830508474516
1303.0,Medium,27.45,13.45
1065.0,Low,47.11961881589619,12.819781021897821
1037.0,Medium,41.892500000000005,11.764166666666666
1047.0,Medium,43.098850025593016,11.660665415458089
1042.0,Low,52.36705882352941,11.234117647058824
1047.0,High,10.732409420289855,10.732409420289855
1042.0,Medium,27.08,10.65
853.0,Low,40.073800000000006,10.381200000000003
1067.0,Medium,47.18,9.17
1063.0,Medium,45.18399999999999,9.032769230769231
1038.0,Medium,29.767999999999994,8.5
835.0,High,8.17,8.17
1057.0,Low,32.557755102040815,7.090612244897959
1045.0,Medium,41.29166666666667,6.474999999999999
1048.0,Medium,79.34,5.95
1050.0,Medium,15.177500000000002,5.91625
1058.0,Medium,24.903333333333336,5.716666666666666
853.0,Medium,16.756,4.840000000000001
1057.0,Medium,4.78,4.77
1065.0,High,4.593548387096773,4.593548387096773
17498.0,Low,14.06,3.52
1038.0,Low,23.335,2.815
1048.0,Low,26.87636363636364,2.704545454545455
1297.0,Medium,16.4,2.41
1037.0,High,1.4425,1.4425
