org_id,reassign_num
1342.0,16714
1047.0,9006
1062.0,5937
1045.0,5073
1042.0,3720
1213.0,3091
1048.0,2648
1028.0,2262
1057.0,2100
1063.0,2071
942.0,2066
1038.0,1919
1065.0,1616
1060.0,1558
835.0,1499
1055.0,1366
1272.0,1315
1050.0,1150
1053.0,1096
910.0,975
1300.0,902
1037.0,797
1355.0,730
1273.0,693
1123.0,674
1058.0,582
1043.0,508
978.0,494
992.0,409
1040.0,399
1325.0,345
1297.0,327
877.0,311
1377.0,310
1068.0,254
912.0,178
1165.0,174
853.0,170
1303.0,168
1067.0,151
1087.0,151
1228.0,143
17498.0,136
1753.0,84
1247.0,65
1017.0,53
15833.0,28
1030.0,19
1202.0,14
918.0,12
1032.0,11
1182.0,10
1243.0,6
1237.0,6
1328.0,6
1085.0,5
952.0,4
1083.0,3
1232.0,3
867.0,3
930.0,2
948.0,2
1260.0,2
1337.0,2
1183.0,1
1233.0,1
1732.0,1
837.0,1
988.0,0
1205.0,0
