org_id,PRIORITY,STATUS,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
1055.0,Medium,RESOLVED,6437.906666666667,1847.8666666666666
1273.0,Medium,RESOLVED,6382.66,1818.67
918.0,Low,CLOSED,5966.89,1683.75
1045.0,Medium,RESOLVED,5835.846666666665,1674.3433333333332
1047.0,Low,RESOLVED,5672.427500000001,1623.2675
1123.0,Medium,INPROG,5571.14,1603.15
1237.0,Low,CLOSED,4763.15,1364.16
1042.0,Low,RESOLVED,3191.6159999999995,921.2800000000001
877.0,Medium,RESOLVED,3002.3733333333334,851.98
1213.0,Low,RESOLVED,2998.385,848.35
910.0,Medium,RESOLVED,2512.9125000000004,717.2349999999999
1038.0,Low,RESOLVED,2469.16,687.15
1062.0,Low,RESOLVED,2443.0827777777777,699.38
1028.0,Low,RESOLVED,2279.096666666667,644.7200000000001
1342.0,Low,RESOLVED,2095.6509523809527,600.7804761904762
1062.0,Low,INPROG,1911.87,529.6
1083.0,Low,CLOSED,1874.7883333333332,545.9033333333334
912.0,Low,RESOLVED,1746.26,505.2
1055.0,Low,RESOLVED,1649.97,463.97
1085.0,Medium,CLOSED,1648.0949999999998,471.575
912.0,Medium,RESOLVED,1582.965,448.96000000000004
1260.0,Medium,CLOSED,1486.845,423.85
948.0,Medium,CLOSED,1482.2,416.27
1067.0,Low,RESOLVED,1421.49,425.48
1032.0,High,CLOSED,1409.74,1409.74
1062.0,Medium,RESOLVED,1344.0672727272727,389.4554545454546
1037.0,Low,INPROG,1328.16,367.35
1272.0,Medium,RESOLVED,1295.12,369.11
1085.0,Low,CLOSED,1258.2375000000002,354.93250000000006
835.0,Low,RESOLVED,1243.635,358.99
1342.0,High,CLOSED,1173.5254170324854,1173.5254170324854
1355.0,Low,RESOLVED,1137.83,330.25
1342.0,Medium,RESOLVED,1112.2877777777778,320.7433333333333
1057.0,Medium,RESOLVED,967.49,272.75
1273.0,Low,CLOSED,895.2754354354354,256.013843843844
1213.0,Medium,RESOLVED,888.6,260.0
1030.0,Medium,CLOSED,869.0585714285713,246.7571428571429
1325.0,Low,RESOLVED,825.11,237.68
835.0,Medium,RESOLVED,804.365,240.6
978.0,Low,CLOSED,788.6414598540134,225.65087591240865
1017.0,Medium,CLOSED,780.337878787879,221.61878787878786
1043.0,Medium,RESOLVED,745.2,221.2
1040.0,Medium,CLOSED,739.5263309352522,210.7359712230217
1228.0,Medium,CLOSED,738.2511666666667,210.33783333333324
1182.0,Medium,CLOSED,731.284,209.68800000000002
1273.0,Medium,CLOSED,710.8936220472443,202.52661417322844
15833.0,Medium,CLOSED,710.6150000000002,201.77611111111113
1028.0,Medium,RESOLVED,710.3733333333333,211.5666666666667
835.0,Low,CLOSED,704.3521031480245,200.01960482250473
992.0,Low,RESOLVED,692.805,201.79999999999998
1053.0,Low,RESOLVED,639.72,189.35
1303.0,Low,CLOSED,639.3732786885246,182.2494262295083
1053.0,Medium,CLOSED,631.1183082706772,179.04488721804506
1300.0,Medium,RESOLVED,627.21,183.21
1753.0,Low,CLOSED,622.0554761904763,175.67571428571432
1325.0,Low,CLOSED,620.4184864864869,176.51254054054053
1753.0,Medium,CLOSED,618.7219512195123,173.77317073170732
1303.0,High,CLOSED,615.0285714285716,615.0285714285716
1297.0,Medium,CLOSED,609.3694475138125,172.75629834254153
912.0,Medium,CLOSED,608.7161538461539,172.0732692307693
912.0,Low,CLOSED,599.9596629213482,169.91
1040.0,Low,CLOSED,591.7900651465796,168.44208469055374
1087.0,Low,CLOSED,590.3370807453415,168.4616149068323
978.0,Medium,CLOSED,584.3928451882842,166.93343096234324
1057.0,Low,CLOSED,571.4001119894589,162.56490777338587
877.0,Low,CLOSED,568.8874045801524,161.12652671755734
1303.0,Medium,CLOSED,567.9083870967743,162.64870967741933
1297.0,Low,CLOSED,565.4317435897435,160.80282051282052
930.0,Medium,CLOSED,558.73,155.02
1047.0,Medium,RESOLVED,554.6774999999999,160.55875000000003
1065.0,Low,RESOLVED,545.74,163.75
910.0,Medium,CLOSED,542.2960941828258,154.69692520775615
1377.0,Medium,CLOSED,540.6614150943399,154.13122641509432
992.0,Medium,RESOLVED,537.07,161.32
992.0,Low,CLOSED,525.8441216216216,149.17416666666657
978.0,Medium,RESOLVED,525.21,157.21
992.0,Medium,CLOSED,522.4699541284406,148.53444954128443
1057.0,Low,RESOLVED,520.09,156.72
1247.0,Medium,CLOSED,501.35749999999996,143.30937500000002
1303.0,Medium,RESOLVED,501.2,147.2
978.0,High,CLOSED,481.51866666666666,481.51866666666666
1067.0,Low,CLOSED,477.28456140350886,135.529649122807
1042.0,Low,CLOSED,474.7738976640709,134.78268743047798
1038.0,Low,CLOSED,466.4204241435552,132.45583197389882
1050.0,Low,CLOSED,464.2382166301973,132.2362144420132
1068.0,Low,CLOSED,459.4389705882354,129.83544117647062
877.0,Medium,CLOSED,458.46948630137007,131.0154109589041
1042.0,Medium,RESOLVED,455.52,129.51
1377.0,Low,CLOSED,453.2529464285717,129.05473214285718
1272.0,Low,CLOSED,449.57581681476444,127.97224880382747
1038.0,Medium,RESOLVED,448.062,132.85999999999999
1123.0,Medium,CLOSED,444.58576642335794,127.37890510948894
910.0,Low,CLOSED,444.30918769230715,126.15193846153846
910.0,Low,RESOLVED,442.34,128.77666666666667
1048.0,Low,RESOLVED,435.11,123.11
942.0,Low,CLOSED,424.1859623849551,120.64023209283711
1048.0,Low,CLOSED,415.1649511798205,117.28626118795759
1213.0,Low,CLOSED,411.9693294849026,116.49745559502684
1050.0,Medium,CLOSED,402.81063977746857,114.38987482614742
1043.0,Medium,CLOSED,401.1458124999999,113.82418750000011
1043.0,Low,CLOSED,399.58569620253184,113.75235443037963
1060.0,Medium,CLOSED,397.47343163538875,113.37761394101872
17498.0,Low,CLOSED,396.4886458333333,111.04197916666669
1123.0,Low,CLOSED,394.61339933993384,112.13925742574263
942.0,Medium,RESOLVED,394.1,128.85
1213.0,Medium,CLOSED,388.72811994609197,111.04890161725058
1328.0,Medium,CLOSED,386.445,107.44
1040.0,Low,RESOLVED,382.67,118.69
835.0,Medium,CLOSED,379.86462253193986,108.35564459930308
1057.0,Medium,CLOSED,374.64450930626066,105.9821658206431
1202.0,Medium,CLOSED,372.0628571428571,108.95285714285714
1237.0,Medium,CLOSED,371.24,100.78
1042.0,Medium,CLOSED,365.3809654561555,104.21512400354298
