org_id,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
918.0,2984.79,843.215
1237.0,2567.195,732.47
948.0,1482.2,416.27
1083.0,1417.575,413.98375000000004
1085.0,1388.1899999999998,393.81333333333333
1260.0,849.0775000000001,244.57750000000001
1273.0,800.8434042553191,233.63666121112934
978.0,721.7850560398501,212.86894146948896
1303.0,614.7008040201003,206.41331658291455
1030.0,703.8729999999999,200.34500000000003
1032.0,282.69888888888886,192.1733333333333
1017.0,557.2846969696967,185.58469696969692
1182.0,617.395,178.06500000000003
1040.0,595.0810288065843,175.87594650205776
912.0,610.7574324324323,175.02148648648648
1753.0,615.3399999999999,174.97273809523807
835.0,583.6990172922827,166.30784479122713
1297.0,563.8413959390858,163.0047969543147
930.0,558.73,155.02
877.0,516.1763780918722,147.09312720848055
992.0,514.6267941176471,146.80744117647066
910.0,472.05753903040295,141.33628594905443
1057.0,481.769652523774,138.23313460131712
1377.0,469.8174269005848,137.6753216374269
1087.0,478.5343703703705,137.18633333333335
1325.0,461.6401694915257,134.58449152542366
15833.0,433.1376595744681,125.79021276595745
1042.0,437.40974596182105,124.68571512481675
1050.0,428.57896243291526,123.97290399522947
1228.0,430.04347305389183,122.37035928143709
1067.0,430.0061081081076,121.80562162162158
1043.0,390.9965878378384,121.74045608108104
1272.0,410.3245002023481,117.68423310400678
1123.0,398.48644086021494,116.69934408602151
1213.0,400.13031741867775,116.18296956977932
1068.0,397.9819202898551,115.49630434782607
1038.0,386.93421262989676,111.57956035171851
1048.0,389.53926009531034,111.29207173313274
942.0,379.49338369304473,108.33881534772138
17498.0,373.46087500000004,105.6003125
1183.0,361.48,101.47999999999999
1053.0,347.5969574944076,99.53649328859049
1247.0,328.664888888889,94.94555555555554
1060.0,320.450378521127,91.6311355633802
1063.0,302.4976499482936,86.9214374353672
1062.0,271.420329551792,86.61054268179294
1165.0,296.544,84.2657435897436
1058.0,290.82776301218166,83.30047619047615
853.0,266.5796551724138,77.72438871473348
1055.0,272.4574401277283,76.92742948376808
1342.0,223.43728255521523,75.79265933539943
867.0,246.42,73.62
1300.0,254.17135284810152,72.36008702531637
1045.0,247.02333013435722,70.38252947628197
1202.0,225.08428571428567,66.24285714285715
1328.0,229.215,63.7125
1037.0,222.31193720379164,63.06964454976307
1065.0,214.56037586405566,61.27493087557607
1028.0,189.3240653118212,52.933929568724636
1047.0,173.61864579830655,50.16048635099203
1243.0,151.0947058823529,48.271764705882354
1205.0,166.97,44.63833333333334
1355.0,134.9195587988597,37.26401945982214
1233.0,137.035,36.22
1337.0,122.8925,35.0625
952.0,86.68333333333334,22.423333333333332
1732.0,14.98,8.2
988.0,22.404999999999998,5.785
837.0,0.78,0.77
1232.0,10.06,0.0
1248.0,,
